timestamps,Car.ay
1.45999999999995,5.982921607028402e-07
1.469999999999949,4.5261697323439876e-07
1.4799999999999478,7.469314482477785e-07
1.4899999999999467,1.0331689281883882e-06
1.4999999999999456,6.98529049714125e-07
1.5099999999999445,7.814306712816688e-08
1.5199999999999434,-4.4998270709584176e-07
1.5299999999999423,-4.541468001661997e-07
1.5399999999999412,2.686965956399945e-07
1.54999999999994,9.19074381044993e-08
1.559999999999939,1.0544953710223126e-07
1.569999999999938,-3.288066068307671e-07
1.5799999999999368,1.7879492020256293e-07
1.5899999999999357,6.916710759696798e-08
1.5999999999999346,1.462257444018178e-07
1.6099999999999335,1.4710622053826228e-07
1.6199999999999324,1.7082334125007037e-07
1.6299999999999313,-2.57378701462585e-07
1.6399999999999302,-4.245696914040309e-07
1.649999999999929,5.2835442687637624e-08
1.659999999999928,-2.7092195864497626e-07
1.6699999999999269,7.179195904427615e-08
1.6799999999999258,1.4090453248627455e-07
1.6899999999999247,1.1613069972327139e-07
1.6999999999999236,4.0835494985458354e-08
1.7099999999999225,1.250936350061238e-07
1.7199999999999214,1.3383210273332224e-07
1.7299999999999203,1.8913833343958686e-07
1.7399999999999192,1.9339783818850265e-07
1.749999999999918,1.5271212072676121e-09
1.759999999999917,-8.751426889830327e-07
1.7699999999999159,1.3162345169348555e-07
1.7799999999999148,1.560103299880211e-07
1.7899999999999137,1.6716201400868158e-07
1.7999999999999126,4.0295992675964953e-07
1.8099999999999115,1.3738630855186784e-07
1.8199999999999104,2.7943997338297777e-07
1.8299999999999093,1.2846899721807858e-07
1.8399999999999082,4.957473720423877e-08
1.849999999999907,8.299356579755113e-08
1.859999999999906,-3.9061058032530127e-07
1.8699999999999048,-5.129698479322542e-07
1.8799999999999037,2.0950785994955368e-07
1.8899999999999026,1.3488980243892001e-07
1.8999999999999015,-2.657117761373229e-07
1.9099999999999004,-5.374115730205631e-08
1.9199999999998993,2.320072525208161e-07
1.9299999999998982,1.5582857315621368e-07
1.9399999999998971,1.115928043304848e-07
1.949999999999896,-4.835911227019096e-07
1.959999999999895,1.6952374437551043e-07
1.9699999999998938,-6.402016197171179e-07
1.9799999999998927,-5.092559263175644e-07
1.9899999999998916,-3.9046864230840583e-07
1.9999999999998905,3.3293755308250184e-08
2.0099999999998897,1.0173292253057298e-07
2.0199999999998886,2.9157592962292256e-07
2.0299999999998875,1.9260757255779026e-07
2.0399999999998863,-4.875324748354615e-07
2.0499999999998852,-3.537911084094958e-07
2.059999999999884,-3.7941089203741285e-07
2.069999999999883,-4.1857532551148324e-07
2.079999999999882,-4.52578291287864e-07
2.089999999999881,2.2452027792496665e-07
2.0999999999998797,-3.6689885973828495e-07
2.1099999999998786,1.5372324924101122e-07
2.1199999999998775,1.0726584065423594e-07
2.1299999999998764,2.3870487808608232e-08
2.1399999999998753,-9.769972848516773e-07
2.1499999999998742,-5.069514372735284e-07
2.159999999999873,-6.117985549281002e-07
2.169999999999872,-1.9743580992326315e-07
2.179999999999871,3.733512983217224e-07
2.18999999999987,3.361524534284399e-07
2.1999999999998687,-2.2226498685995466e-07
2.2099999999998676,-4.599320391207584e-07
2.2199999999998665,3.203091409886838e-07
2.2299999999998654,8.370862758511066e-08
2.2399999999998643,8.705659979568736e-07
2.249999999999863,3.8731033669137105e-07
2.259999999999862,3.806527502092649e-07
2.269999999999861,-5.523755817193887e-07
2.27999999999986,-2.097293538838585e-08
2.289999999999859,-2.1160133201192366e-07
2.2999999999998577,1.069800816821953e-07
2.3099999999998566,-7.312402772186033e-08
2.3199999999998555,-3.951808480451291e-07
2.3299999999998544,-5.023469498155464e-07
2.3399999999998533,5.714356348107685e-07
2.349999999999852,2.4721157387830317e-07
2.359999999999851,-5.56631221115822e-07
2.36999999999985,-4.507629114414158e-07
2.379999999999849,6.962648626540613e-07
2.389999999999848,-6.762952580174897e-07
2.3999999999998467,1.1251213436480612e-06
2.4099999999998456,-5.107844458507316e-07
2.4199999999998445,-2.275646835414591e-07
2.4299999999998434,1.3097213695800747e-06
2.4399999999998423,8.981338055491506e-07
2.449999999999841,2.052007772590514e-07
2.45999999999984,-3.7192694435361773e-07
2.469999999999839,4.602715364399046e-08
2.479999999999838,-9.69956886365253e-07
2.489999999999837,1.1566368129933835e-06
2.4999999999998357,-0.0005722207715734839
2.5099999999998346,-0.0013633336639031768
2.5199999999998335,4.827296288567595e-05
2.5299999999998324,0.001767316134646535
2.5399999999998313,0.004292972385883331
2.54999999999983,0.007110008038580418
2.559999999999829,0.01092628575861454
2.569999999999828,0.01428235974162817
2.579999999999827,0.015504850074648857
2.5899999999998258,0.013326412066817284
2.5999999999998247,0.009799362160265446
2.6099999999998236,0.008472634479403496
2.6199999999998225,0.008131086826324463
2.6299999999998214,0.00612763362005353
2.6399999999998203,0.004353855736553669
2.649999999999819,0.002607128117233515
2.659999999999818,0.0005185590125620365
2.669999999999817,-0.0015749094309285283
2.679999999999816,-0.0036621445324271917
2.6899999999998148,-0.005881886463612318
2.6999999999998137,-0.011714869178831577
2.7099999999998126,-0.008873408660292625
2.7199999999998115,-0.013140500523149967
2.7299999999998104,-0.014242613688111305
2.7399999999998093,-0.016153309494256973
2.749999999999808,-0.017477260902523994
2.759999999999807,-0.018405422568321228
2.769999999999806,-0.019086256623268127
2.779999999999805,-0.019411344081163406
